ID,Phase,Task,Task Explanation,Deliverable / Definition of Done,Start,End,Priority,Owner,Status,Progress,Dependency
1,Data,Define the data we need,"Write a short list of the data needed for load, PV/weather, network and BESS/economic values.",One clear data checklist,9/20/2026,9/21/2026,Critical,Team,In Progress,0,None
2,Data,Get load data,"Find one usable historical load profile and record the source, unit, time step and date range.",Load dataset ready,9/20/2026,9/24/2026,Critical,Fahad,In Progress,0,1
3,Data,Get PV / weather data,"Find irradiance, weather or PV generation data that can be matched with the load data.",PV/weather dataset ready,9/20/2026,9/24/2026,Critical,Mohammed,In Progress,0,1
4,Data,Get network data,Prepare a small 5-bus test case and the IEEE 33-bus data for later use.,5-bus + IEEE 33-bus data ready,9/22/2026,9/24/2026,Critical,Mohammed,Not Started,0,1
5,Data,Check the selected data,"Check source, units, timestamps, missing values and whether the data can be used together.",Short data quality note,9/23/2026,9/25/2026,High,Team,Not Started,0,"2,3,4"
6,Data,Clean and align the data,Fix missing values where needed and put load/PV data on the same time step and units.,Simulation-ready load/PV files,9/24/2026,9/26/2026,Critical,Team,Not Started,0,"2,3"
7,Data,Prepare data for advisor,"Prepare source links, sample plots, data summary and questions for the advisor.",Advisor data package,9/25/2026,9/27/2026,Critical,Team,Not Started,0,"5,6"
8,Ethics,Prepare individual ethical analysis + final-report ethics material,"Each team member prepares the required individual 3–5 page ethical analysis. Cover project context, stakeholders, 2 distinct ethical issues, alternatives/decision-making using the Saudi Council of Engineers Engineer Charter 2025, safety/risk/compliance, data/privacy/security, global/economic/environmental/societal impacts, professional integrity, IP/attribution, mitigation, and reflection. Reuse the relevant team-level material later in Appendix D and Chapter 6.2. The provided schedule does not state the ethics submission deadline, so 7 Oct is an internal draft target.",Each member has an individual ethics draft/outline; team has reusable Appendix D + Chapter 6.2 source notes,9/27/2026,10/7/2026,Medium,Team,Not Started,0,5
9,Shadow Design,Confirm the implementation baseline,Use the Term 1 design as the starting point and review the shadow design before coding. Do not change Term 1 methods unless a real need appears.,Shadow design accepted as starting baseline,9/27/2026,9/29/2026,Critical,Team,Not Started,0,7
10,Setup,Set up the code structure,"Create simple folders/modules for data, network, BESS, optimization, uncertainty and results. Keep it easy to change later.",Runnable project structure,9/30/2026,10/3/2026,High,Team,Not Started,0,9
11,Setup,Define basic input / output formats,"Decide how network data, time-series data, BESS settings and simulation results will be stored between modules.",Simple data format/interface note,10/1/2026,10/4/2026,High,Team,Not Started,0,"9,10"
12,V1 - Network,Prepare the 5-bus test case,Create one small radial network that is easy to understand and debug.,5-bus case ready for power flow,10/2/2026,10/5/2026,Critical,Team,Not Started,0,"4,11"
13,V1 - Network,Implement FBS for one time step,Implement the Forward-Backward Sweep method from Term 1 for one static network condition.,FBS runs on the 5-bus case,10/4/2026,10/10/2026,Critical,Team,Not Started,0,12
14,V1 - Network,Verify the FBS result,"Check that the FBS implementation is working correctly by comparing voltages, power balance and losses with a trusted/reference result or simple manual checks. This is implementation verification, not final project validation.",FBS result verified for the small test case,10/8/2026,10/12/2026,Critical,Team,Not Started,0,13
15,V1 - Network,Show basic network results,"Create simple tables/plots for bus voltage, line loading/current, losses and source power.",Readable V1 result output,10/10/2026,10/14/2026,High,Team,Not Started,0,14
16,V1 - Network,Import load and PV profiles,"Read the cleaned load/PV files and check timestamp, length, unit and scaling before simulation.",Profiles load correctly,10/11/2026,10/15/2026,High,Team,Not Started,0,"6,10"
17,V1 - Network,Add the hourly simulation loop,Run the network over the full time series instead of only one time step.,Time-series 5-bus simulation works,10/14/2026,10/18/2026,Critical,Team,Not Started,0,"15,16"
18,V1 - Network,Verify V1 network implementation,"Check the time-series power flow, outputs and power balance. Fix any implementation problem before adding the battery. This verifies that V1 works correctly; it does not test the Term 1 project requirements yet.",V1 network implementation verified and stable,10/17/2026,10/21/2026,Critical,Team,Not Started,0,"14,17"
19,Documentation,Write Chapter 4 - V1 network implementation,"Write the V1 implementation while it is fresh: 5-bus setup, FBS implementation, time-series loop, outputs, problems found and how V1 was checked.",Chapter 4 V1 subsection draft,10/18/2026,10/23/2026,High,Team,Not Started,0,18
